Order_ID,Product,Quantity,Price_Each,Order_Date,Purchase_Address,shop
16558,USB-C Charging Cable,2,11.95,8/27/2013 11:53,"917 1st St, Dallas, TX 75001",jithinjose
16559,Bose SoundSport Headphones,1,99.99,8/30/2013 23:46,"682 Chestnut St, Boston, MA 02215",jithinjose
16560,Google Phone,1,600,8/6/2013 6:44,"669 Spruce St, Los Angeles, CA 90001",jithinjose
16560,Wired Headphones,1,11.99,8/11/2013 11:46,"669 Spruce St, Los Angeles, CA 90001",jithinjose
16561,Wired Headphones,1,11.99,8/17/2013 20:57,"333 8th St, Los Angeles, CA 90001",jithinjose
16562,USB-C Charging Cable,1,11.95,8/2/2013 9:24,"381 Wilson St, San Francisco, CA 94016",jithinjose
16563,Bose SoundSport Headphones,1,99.99,8/26/2013 18:59,"668 Center St, Seattle, WA 98101",jithinjose
16564,USB-C Charging Cable,1,11.95,8/24/2013 21:15,"790 Ridge St, Atlanta, GA 30301",jithinjose
16565,Macbook Pro Laptop,1,1700,8/10/2013 16:16,"915 Willow St, San Francisco, CA 94016",jithinjose
16566,Wired Headphones,1,11.99,8/6/2013 11:07,"83 7th St, Boston, MA 02215",jithinjose
16567,Google Phone,1,600,8/21/2013 22:31,"444 7th St, Los Angeles, CA 90001",jithinjose
16568,Lightning Charging Cable,1,14.95,8/8/2013 18:52,"438 Elm St, Seattle, WA 98101",jithinjose
16569,27in 4K Gaming Monitor,1,389.99,8/31/2013 19:40,"657 Hill St, Dallas, TX 75001",jithinjose
16570,AA Batteries (4-pack),1,3.84,8/25/2013 22:03,"186 12th St, Dallas, TX 75001",jithinjose
16571,Lightning Charging Cable,1,14.95,8/16/2013 15:22,"253 Johnson St, Atlanta, GA 30301",jithinjose
16572,Apple Airpods Headphones,1,150,8/19/2013 8:28,"149 Dogwood St, New York City, NY 10001",jithinjose
16573,USB-C Charging Cable,1,11.95,8/16/2013 8:12,"214 Chestnut St, San Francisco, CA 94016",jithinjose
16574,Google Phone,1,600,8/2/2013 11:27,"20 Hill St, Los Angeles, CA 90001",jithinjose
16574,USB-C Charging Cable,1,11.95,8/26/2013 18:10,"20 Hill St, Los Angeles, CA 90001",jithinjose
16575,AAA Batteries (4-pack),1,2.99,8/31/2013 15:57,"433 Hill St, New York City, NY 10001",jithinjose
16576,Apple Airpods Headphones,1,150,8/5/2013 18:21,"771 Ridge St, Los Angeles, CA 90001",jithinjose
16577,Apple Airpods Headphones,1,150,8/5/2013 11:24,"260 Spruce St, Dallas, TX 75001",jithinjose
16578,Apple Airpods Headphones,1,150,8/7/2013 9:12,"513 Church St, Boston, MA 02215",jithinjose
16579,AA Batteries (4-pack),1,3.84,8/21/2013 12:42,"886 Jefferson St, New York City, NY 10001",jithinjose
16580,USB-C Charging Cable,1,11.95,8/7/2013 16:47,"886 Willow St, Los Angeles, CA 90001",jithinjose
16581,iPhone,1,700,8/16/2013 22:10,"84 Jackson St, Boston, MA 02215",jithinjose
16582,Bose SoundSport Headphones,1,99.99,8/14/2013 12:50,"178 Lincoln St, Atlanta, GA 30301",jithinjose
16583,AAA Batteries (4-pack),2,2.99,8/26/2013 6:55,"146 Jackson St, Portland, OR 97035",jithinjose
16584,Flatscreen TV,1,300,8/11/2013 11:44,"936 Church St, San Francisco, CA 94016",jithinjose
16585,Bose SoundSport Headphones,1,99.99,8/11/2013 8:49,"823 Highland St, Boston, MA 02215",jithinjose
16586,AAA Batteries (4-pack),2,2.99,8/2/2013 19:13,"365 Center St, San Francisco, CA 94016",jithinjose
16586,Google Phone,1,600,8/31/2013 16:34,"365 Center St, San Francisco, CA 94016",jithinjose
16587,27in FHD Monitor,1,149.99,8/8/2013 11:15,"557 5th St, Los Angeles, CA 90001",jithinjose
16588,20in Monitor,1,109.99,8/3/2013 21:56,"765 Cherry St, Seattle, WA 98101",jithinjose
16589,Lightning Charging Cable,1,14.95,8/13/2013 11:52,"846 Highland St, Atlanta, GA 30301",jithinjose
16590,Google Phone,1,600,8/18/2013 22:56,"873 6th St, New York City, NY 10001",jithinjose
16591,Apple Airpods Headphones,1,150,8/27/2013 1:07,"600 Maple St, Austin, TX 73301",jithinjose
16592,USB-C Charging Cable,1,11.95,8/8/2013 8:49,"352 4th St, Los Angeles, CA 90001",jithinjose
16593,Lightning Charging Cable,2,14.95,8/27/2013 19:31,"906 7th St, Portland, OR 97035",jithinjose
16594,Wired Headphones,1,11.99,8/10/2013 11:27,"63 Maple St, San Francisco, CA 94016",jithinjose
16595,Wired Headphones,3,11.99,8/10/2013 15:16,"383 6th St, Los Angeles, CA 90001",jithinjose
16596,Apple Airpods Headphones,1,150,8/10/2013 12:47,"572 Meadow St, Dallas, TX 75001",jithinjose
16597,USB-C Charging Cable,1,11.95,8/24/2013 22:07,"681 11th St, San Francisco, CA 94016",jithinjose
16598,AAA Batteries (4-pack),2,2.99,8/18/2013 14:55,"294 Park St, San Francisco, CA 94016",jithinjose
16599,Lightning Charging Cable,1,14.95,8/10/2013 14:08,"279 Maple St, New York City, NY 10001",jithinjose
16600,27in 4K Gaming Monitor,1,389.99,8/16/2013 18:37,"87 West St, Boston, MA 02215",jithinjose
16601,USB-C Charging Cable,1,11.95,8/14/2013 19:42,"754 10th St, Los Angeles, CA 90001",jithinjose
16602,Lightning Charging Cable,1,14.95,8/19/2013 2:32,"9 Jefferson St, Dallas, TX 75001",jithinjose
16603,USB-C Charging Cable,1,11.95,8/20/2013 15:53,"858 6th St, San Francisco, CA 94016",jithinjose
16604,USB-C Charging Cable,1,11.95,8/3/2013 7:12,"462 11th St, San Francisco, CA 94016",jithinjose
16605,USB-C Charging Cable,1,11.95,8/29/2013 10:08,"717 Pine St, San Francisco, CA 94016",jithinjose
16606,LG Dryer,1,600,8/26/2013 20:57,"487 Maple St, San Francisco, CA 94016",jithinjose
16607,AAA Batteries (4-pack),2,2.99,8/10/2013 12:26,"689 10th St, Boston, MA 02215",jithinjose
16608,iPhone,1,700,8/5/2013 22:49,"15 Cherry St, San Francisco, CA 94016",jithinjose
16609,Apple Airpods Headphones,1,150,8/25/2013 15:27,"267 11th St, Austin, TX 73301",jithinjose
16610,AAA Batteries (4-pack),1,2.99,8/8/2013 22:32,"382 River St, Dallas, TX 75001",jithinjose
16611,Bose SoundSport Headphones,1,99.99,8/9/2013 20:12,"971 Sunset St, San Francisco, CA 94016",jithinjose
16612,Apple Airpods Headphones,1,150,8/18/2013 22:07,"149 North St, Seattle, WA 98101",jithinjose
16613,USB-C Charging Cable,2,11.95,8/18/2013 22:07,"405 4th St, New York City, NY 10001",jithinjose
16614,AA Batteries (4-pack),1,3.84,8/30/2013 13:48,"647 Jackson St, San Francisco, CA 94016",jithinjose
16615,Lightning Charging Cable,1,14.95,8/30/2013 13:48,"833 River St, Dallas, TX 75001",jithinjose
16616,USB-C Charging Cable,1,11.95,8/12/2013 12:18,"380 Washington St, San Francisco, CA 94016",jithinjose
1661,Apple Airpods Headphones,1,150,8/25/2013 8:10,"319 8th St, Portland, OR 97035",jithinjose
1662,Lightning Charging Cable,2,14.95,8/13/2013 7:36,"273 South St, San Francisco, CA 94016",jithinjose
16619,Flatscreen TV,1,300,8/27/2013 8:10,"116 North St, Los Angeles, CA 90001",jithinjose
16620,USB-C Charging Cable,1,11.95,8/26/2013 18:59,"994 Pine St, Los Angeles, CA 90001",jithinjose
16621,Lightning Charging Cable,1,14.95,8/11/2013 15:40,"863 8th St, Boston, MA 02215",jithinjose
16622,AA Batteries (4-pack),1,3.84,8/23/2013 13:35,"983 11th St, San Francisco, CA 94016",jithinjose
16623,27in FHD Monitor,1,149.99,8/27/2013 13:02,"807 12th St, Atlanta, GA 30301",jithinjose
16624,AA Batteries (4-pack),1,3.84,8/4/2013 12:41,"664 Church St, Seattle, WA 98101",jithinjose
16625,AAA Batteries (4-pack),2,2.99,8/19/2013 16:24,"858 5th St, San Francisco, CA 94016",jithinjose
16626,Bose SoundSport Headphones,1,99.99,8/23/2013 9:40,"491 Chestnut St, Boston, MA 02215",jithinjose
16627,Wired Headphones,1,11.99,8/5/2013 14:02,"994 13th St, Atlanta, GA 30301",jithinjose
16628,Lightning Charging Cable,2,14.95,8/9/2013 3:01,"628 Wilson St, Dallas, TX 75001",jithinjose
16629,USB-C Charging Cable,1,11.95,8/29/2013 15:24,"101 Lincoln St, San Francisco, CA 94016",jithinjose
16630,Google Phone,1,600,8/1/2013 17:54,"770 Maple St, San Francisco, CA 94016",jithinjose
16631,USB-C Charging Cable,1,11.95,8/16/2013 22:43,"292 Dogwood St, San Francisco, CA 94016",jithinjose
16632,AAA Batteries (4-pack),1,2.99,8/27/2013 16:40,"814 Madison St, San Francisco, CA 94016",jithinjose
16633,ThinkPad Laptop,1,999.99,8/17/2013 18:10,"863 Hickory St, Los Angeles, CA 90001",jithinjose
16634,Lightning Charging Cable,1,14.95,8/3/2013 18:48,"311 Madison St, Atlanta, GA 30301",jithinjose
16635,Vareebadd Phone,1,400,8/7/2013 18:27,"85 North St, San Francisco, CA 94016",jithinjose
16636,AA Batteries (4-pack),1,3.84,8/17/2013 14:31,"140 10th St, Boston, MA 02215",jithinjose
16637,AAA Batteries (4-pack),1,2.99,8/30/2013 18:27,"261 Sunset St, New York City, NY 10001",jithinjose
16638,USB-C Charging Cable,1,11.95,8/11/2013 6:48,"869 Cherry St, Boston, MA 02215",jithinjose
16639,Macbook Pro Laptop,1,1700,8/2/2013 8:58,"853 Cedar St, San Francisco, CA 94016",jithinjose
16640,Wired Headphones,2,11.99,8/29/2013 14:41,"164 Lake St, San Francisco, CA 94016",jithinjose
16641,Lightning Charging Cable,1,14.95,8/13/2013 23:24,"655 Sunset St, Boston, MA 02215",jithinjose
16642,AA Batteries (4-pack),1,3.84,8/2/2013 6:23,"72 Elm St, Portland, OR 97035",jithinjose
16643,Macbook Pro Laptop,1,1700,8/7/2013 17:14,"373 Adams St, Boston, MA 02215",jithinjose
16644,USB-C Charging Cable,1,11.95,8/7/2013 17:14,"962 7th St, Los Angeles, CA 90001",jithinjose
16645,AAA Batteries (4-pack),3,2.99,8/19/2013 13:53,"514 Lake St, Dallas, TX 75001",jithinjose
16646,Macbook Pro Laptop,1,1700,8/4/2013 9:40,"657 Adams St, Portland, OR 97035",jithinjose
16647,Google Phone,1,600,8/25/2013 14:59,"273 South St, Los Angeles, CA 90001",jithinjose
16648,27in FHD Monitor,1,149.99,8/14/2013 11:19,"732 2nd St, Portland, OR 97035",jithinjose
16649,USB-C Charging Cable,1,11.95,8/11/2013 21:04,"702 11th St, San Francisco, CA 94016",jithinjose
16650,Lightning Charging Cable,1,14.95,8/9/2013 13:52,"153 River St, Boston, MA 02215",jithinjose
16651,iPhone,1,700,8/3/2013 17:56,"997 South St, Boston, MA 02215",jithinjose
16652,LG Washing Machine,1,600,8/20/2013 21:07,"502 14th St, New York City, NY 10001",jithinjose
16653,AA Batteries (4-pack),1,3.84,8/4/2013 16:27,"285 Chestnut St, San Francisco, CA 94016",jithinjose
16654,USB-C Charging Cable,1,11.95,8/26/2013 22:05,"880 Lakeview St, Seattle, WA 98101",jithinjose
16655,Apple Airpods Headphones,1,150,8/26/2013 14:24,"848 Center St, San Francisco, CA 94016",jithinjose
16656,Google Phone,1,600,8/30/2013 7:17,"12 Lakeview St, New York City, NY 10001",jithinjose
16657,ThinkPad Laptop,1,999.99,8/2/2013 6:46,"774 Forest St, Los Angeles, CA 90001",jithinjose
16658,AAA Batteries (4-pack),2,2.99,8/17/2013 14:33,"573 Pine St, San Francisco, CA 94016",jithinjose
16659,20in Monitor,1,109.99,8/23/2013 21:23,"804 Church St, Dallas, TX 75001",jithinjose
16660,AA Batteries (4-pack),1,3.84,8/9/2013 11:03,"267 West St, Boston, MA 02215",jithinjose
16661,Wired Headphones,1,11.99,8/9/2013 13:38,"522 6th St, Atlanta, GA 30301",jithinjose
16662,34in Ultrawide Monitor,1,379.99,8/20/2013 16:18,"678 Hickory St, Portland, OR 97035",jithinjose
16663,Bose SoundSport Headphones,1,99.99,8/24/2013 22:57,"450 Johnson St, Seattle, WA 98101",jithinjose
16664,AAA Batteries (4-pack),1,2.99,8/21/2013 11:49,"544 Madison St, Los Angeles, CA 90001",jithinjose
16665,ThinkPad Laptop,1,999.99,8/20/2013 9:10,"927 13th St, Dallas, TX 75001",jithinjose
16666,Wired Headphones,1,11.99,8/13/2013 16:55,"382 Forest St, Seattle, WA 98101",jithinjose
16667,27in 4K Gaming Monitor,1,389.99,8/8/2013 20:43,"92 11th St, Los Angeles, CA 90001",jithinjose
16668,AA Batteries (4-pack),1,3.84,8/25/2013 20:38,"56 2nd St, Dallas, TX 75001",jithinjose
16669,27in FHD Monitor,1,149.99,8/15/2013 10:55,"506 Jackson St, Dallas, TX 75001",jithinjose
16670,Apple Airpods Headphones,1,150,8/19/2013 19:48,"892 Willow St, San Francisco, CA 94016",jithinjose
16671,AAA Batteries (4-pack),2,2.99,8/19/2013 19:48,"738 Jefferson St, New York City, NY 10001",jithinjose
16672,Lightning Charging Cable,1,14.95,8/6/2013 8:16,"778 Maple St, New York City, NY 10001",jithinjose
16672,USB-C Charging Cable,1,11.95,8/9/2013 8:52,"778 Maple St, New York City, NY 10001",jithinjose
16673,20in Monitor,1,109.99,8/31/2013 14:25,"952 1st St, Boston, MA 02215",jithinjose
16674,AAA Batteries (4-pack),3,2.99,8/5/2013 17:38,"907 West St, Austin, TX 73301",jithinjose
17001,Wired Headphones,1,11.99,12/29/2013 12:15,"958 Walnut St, Los Angeles, CA 90001",jithinjose
17002,USB-C Charging Cable,1,11.95,12/12/2013 18:41,"965 Elm St, San Francisco, CA 94016",jithinjose
17003,USB-C Charging Cable,1,11.95,12/25/2013 18:54,"903 Wilson St, San Francisco, CA 94016",jithinjose
17004,AAA Batteries (4-pack),1,2.99,12/30/2013 8:57,"781 Wilson St, Los Angeles, CA 90001",jithinjose
17005,Lightning Charging Cable,1,14.95,12/28/2013 11:19,"375 Jefferson St, Los Angeles, CA 90001",jithinjose
17006,34in Ultrawide Monitor,1,379.99,12/26/2013 10:05,"776 Spruce St, Austin, TX 73301",jithinjose
17007,AAA Batteries (4-pack),1,2.99,12/4/2013 11:01,"806 Willow St, Boston, MA 02215",jithinjose
17008,Apple Airpods Headphones,1,150,12/26/2013 18:54,"899 7th St, Dallas, TX 75001",jithinjose
17009,AA Batteries (4-pack),1,3.84,12/25/2013 23:39,"623 5th St, Los Angeles, CA 90001",jithinjose
17010,Apple Airpods Headphones,1,150,12/21/2013 15:11,"885 Jefferson St, Dallas, TX 75001",jithinjose
17011,Wired Headphones,2,11.99,12/13/2013 23:36,"742 Maple St, Dallas, TX 75001",jithinjose
17012,Lightning Charging Cable,3,14.95,12/24/2013 17:24,"987 9th St, New York City, NY 10001",jithinjose
17013,AAA Batteries (4-pack),1,2.99,12/8/2013 23:42,"398 Pine St, Los Angeles, CA 90001",jithinjose
17014,Lightning Charging Cable,1,14.95,12/11/2013 21:45,"918 Maple St, Dallas, TX 75001",jithinjose
17015,Lightning Charging Cable,1,14.95,12/1/2013 11:15,"61 7th St, New York City, NY 10001",jithinjose
17016,USB-C Charging Cable,1,11.95,12/1/2013 11:15,"277 Johnson St, Seattle, WA 98101",jithinjose
1701,AAA Batteries (4-pack),5,2.99,12/25/2013 20:30,"713 Sunset St, New York City, NY 10001",jithinjose
1702,USB-C Charging Cable,1,11.95,12/7/2013 19:24,"412 Church St, New York City, NY 10001",jithinjose
17019,USB-C Charging Cable,1,11.95,12/22/2013 17:51,"2 4th St, San Francisco, CA 94016",jithinjose
17020,Macbook Pro Laptop,1,1700,12/2/2013 19:16,"606 Walnut St, Seattle, WA 98101",jithinjose
17021,Bose SoundSport Headphones,1,99.99,12/17/2013 15:53,"542 Cedar St, San Francisco, CA 94016",jithinjose
17022,iPhone,1,700,12/21/2013 16:42,"216 Chestnut St, Los Angeles, CA 90001",jithinjose
17022,Wired Headphones,1,11.99,12/19/2013 16:47,"216 Chestnut St, Los Angeles, CA 90001",jithinjose
17023,AAA Batteries (4-pack),1,2.99,12/11/2013 12:55,"320 Adams St, New York City, NY 10001",jithinjose
17024,Bose SoundSport Headphones,1,99.99,12/20/2013 9:22,"565 Madison St, Los Angeles, CA 90001",jithinjose
17025,27in FHD Monitor,1,149.99,12/30/2013 17:05,"708 Cedar St, San Francisco, CA 94016",jithinjose
17026,34in Ultrawide Monitor,1,379.99,12/2/2013 18:36,"892 5th St, Austin, TX 73301",jithinjose
17027,USB-C Charging Cable,1,11.95,12/2/2013 23:15,"472 Pine St, San Francisco, CA 94016",jithinjose
